,G,Date,Site,Opp,W/L,score_Tm,score_Opp,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,blank,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,Team
36,2,2017-11-13,,North Florida,W,95.0,85.0,37.0,72.0,0.514,5.0,16.0,0.313,16.0,24.0,0.667,13.0,36.0,26.0,10.0,6.0,9.0,11.0,,32.0,77.0,0.41600000000000004,17.0,40.0,0.425,4.0,4.0,1.0,16.0,41.0,22.0,5.0,4.0,16.0,13.0,Virginia Commonwealth
37,3,2017-11-17,,Virginia,L,67.0,76.0,26.0,57.0,0.456,9.0,25.0,0.36,6.0,9.0,0.667,9.0,32.0,12.0,4.0,4.0,12.0,13.0,,31.0,61.0,0.508,10.0,23.0,0.435,4.0,5.0,0.8,5.0,25.0,16.0,8.0,1.0,5.0,15.0,Virginia Commonwealth
38,4,2017-11-20,N,Marquette,L,83.0,94.0,30.0,68.0,0.441,10.0,26.0,0.385,13.0,19.0,0.684,9.0,28.0,13.0,7.0,2.0,15.0,19.0,,34.0,66.0,0.515,13.0,36.0,0.361,13.0,17.0,0.765,15.0,39.0,18.0,6.0,7.0,17.0,18.0,Virginia Commonwealth
39,5,2017-11-21,N,University of California,W,83.0,69.0,31.0,62.0,0.5,12.0,29.0,0.414,9.0,13.0,0.6920000000000001,9.0,34.0,14.0,7.0,6.0,18.0,20.0,,26.0,60.0,0.433,4.0,15.0,0.267,13.0,20.0,0.65,8.0,32.0,9.0,12.0,6.0,17.0,15.0,Virginia Commonwealth
40,6,2017-11-22,N,Michigan,L,60.0,68.0,25.0,56.0,0.446,3.0,11.0,0.273,7.0,11.0,0.636,6.0,31.0,6.0,6.0,2.0,9.0,20.0,,25.0,53.0,0.47200000000000003,5.0,20.0,0.25,13.0,22.0,0.591,7.0,32.0,10.0,6.0,4.0,10.0,14.0,Virginia Commonwealth
41,7,2017-11-28,,Appalachian State,W,85.0,72.0,29.0,59.0,0.49200000000000005,10.0,20.0,0.5,17.0,26.0,0.654,7.0,30.0,18.0,11.0,4.0,10.0,20.0,,28.0,61.0,0.45899999999999996,6.0,25.0,0.24,10.0,18.0,0.556,12.0,37.0,12.0,5.0,0.0,17.0,24.0,Virginia Commonwealth
42,8,2017-12-02,,Old Dominion,W,82.0,75.0,26.0,53.0,0.491,10.0,19.0,0.526,20.0,25.0,0.8,7.0,33.0,17.0,4.0,2.0,16.0,9.0,,32.0,64.0,0.5,5.0,12.0,0.41700000000000004,6.0,7.0,0.857,5.0,25.0,16.0,11.0,4.0,11.0,19.0,Virginia Commonwealth
43,9,2017-12-05,,Texas,L,67.0,71.0,24.0,60.0,0.4,7.0,25.0,0.28,12.0,18.0,0.667,12.0,35.0,13.0,4.0,0.0,11.0,21.0,,26.0,51.0,0.51,7.0,16.0,0.43799999999999994,12.0,22.0,0.545,9.0,30.0,14.0,5.0,6.0,11.0,16.0,Virginia Commonwealth
44,10,2017-12-09,@,Seton Hall,L,67.0,90.0,25.0,65.0,0.385,6.0,22.0,0.273,11.0,19.0,0.579,13.0,32.0,13.0,6.0,3.0,14.0,16.0,,35.0,64.0,0.547,5.0,14.0,0.35700000000000004,15.0,18.0,0.833,9.0,37.0,20.0,6.0,3.0,12.0,20.0,Virginia Commonwealth
45,11,2017-12-16,,Bucknell,W,85.0,79.0,29.0,61.0,0.475,7.0,18.0,0.389,20.0,23.0,0.87,8.0,28.0,14.0,8.0,0.0,11.0,19.0,,29.0,58.0,0.5,8.0,26.0,0.308,13.0,16.0,0.813,9.0,32.0,13.0,5.0,2.0,17.0,19.0,Virginia Commonwealth
46,12,2017-12-19,,Winthrop,W,69.0,55.0,23.0,58.0,0.397,10.0,28.0,0.35700000000000004,13.0,18.0,0.722,9.0,42.0,15.0,6.0,2.0,14.0,19.0,,20.0,59.0,0.33899999999999997,3.0,25.0,0.12,12.0,23.0,0.522,11.0,38.0,10.0,6.0,4.0,15.0,20.0,Virginia Commonwealth
47,13,2017-12-22,,Virginia Military Institute,W,75.0,65.0,27.0,57.0,0.474,9.0,27.0,0.33299999999999996,12.0,15.0,0.8,10.0,35.0,21.0,9.0,5.0,17.0,14.0,,22.0,62.0,0.355,9.0,21.0,0.429,12.0,13.0,0.9229999999999999,12.0,32.0,17.0,8.0,1.0,17.0,12.0,Virginia Commonwealth
48,14,2017-12-30,,Fordham,W,76.0,63.0,28.0,56.0,0.5,9.0,22.0,0.409,11.0,18.0,0.611,11.0,35.0,20.0,11.0,4.0,13.0,11.0,,24.0,52.0,0.462,9.0,24.0,0.375,6.0,12.0,0.5,5.0,22.0,13.0,12.0,1.0,13.0,12.0,Virginia Commonwealth
49,15,2018-01-03,@,St. Joseph's,L (1 OT),81.0,87.0,35.0,77.0,0.455,6.0,29.0,0.207,5.0,7.0,0.7140000000000001,10.0,41.0,12.0,6.0,4.0,20.0,25.0,,26.0,69.0,0.377,6.0,21.0,0.28600000000000003,29.0,38.0,0.763,9.0,35.0,15.0,8.0,3.0,8.0,12.0,Virginia Commonwealth
50,16,2018-01-06,@,La Salle,W,80.0,74.0,25.0,59.0,0.424,11.0,28.0,0.39299999999999996,19.0,22.0,0.8640000000000001,8.0,33.0,9.0,7.0,0.0,15.0,22.0,,25.0,61.0,0.41,9.0,22.0,0.409,15.0,23.0,0.652,10.0,33.0,9.0,6.0,1.0,14.0,21.0,Virginia Commonwealth
51,17,2018-01-09,,Duquesne,W,78.0,67.0,25.0,56.0,0.446,7.0,18.0,0.389,21.0,29.0,0.7240000000000001,13.0,47.0,14.0,4.0,2.0,12.0,15.0,,25.0,65.0,0.385,11.0,31.0,0.355,6.0,14.0,0.429,10.0,30.0,10.0,4.0,4.0,7.0,23.0,Virginia Commonwealth
52,18,2018-01-12,@,Dayton,L,79.0,106.0,29.0,60.0,0.483,8.0,21.0,0.381,13.0,16.0,0.813,5.0,25.0,17.0,7.0,0.0,15.0,17.0,,39.0,62.0,0.629,17.0,32.0,0.531,11.0,14.0,0.7859999999999999,6.0,32.0,34.0,5.0,1.0,10.0,14.0,Virginia Commonwealth
53,19,2018-01-17,,Richmond,L,52.0,67.0,21.0,61.0,0.344,4.0,23.0,0.174,6.0,8.0,0.75,4.0,25.0,7.0,8.0,1.0,9.0,10.0,,29.0,54.0,0.537,7.0,17.0,0.41200000000000003,2.0,4.0,0.5,5.0,36.0,17.0,6.0,2.0,14.0,16.0,Virginia Commonwealth
54,20,2018-01-20,,George Washington,W,87.0,63.0,32.0,58.0,0.552,7.0,19.0,0.368,16.0,18.0,0.889,11.0,32.0,20.0,7.0,0.0,12.0,15.0,,22.0,49.0,0.449,7.0,20.0,0.35,12.0,16.0,0.75,6.0,20.0,15.0,8.0,3.0,15.0,20.0,Virginia Commonwealth
55,21,2018-01-23,@,Saint Louis,W (1 OT),75.0,74.0,29.0,62.0,0.46799999999999997,5.0,18.0,0.278,12.0,19.0,0.632,8.0,29.0,18.0,6.0,1.0,11.0,21.0,,25.0,62.0,0.40299999999999997,3.0,16.0,0.188,21.0,29.0,0.7240000000000001,15.0,43.0,9.0,5.0,6.0,15.0,19.0,Virginia Commonwealth
56,22,2018-01-27,@,George Mason,W,84.0,76.0,28.0,66.0,0.424,8.0,27.0,0.29600000000000004,20.0,27.0,0.741,18.0,44.0,15.0,3.0,3.0,15.0,25.0,,23.0,54.0,0.426,4.0,20.0,0.2,26.0,34.0,0.765,6.0,24.0,10.0,10.0,2.0,10.0,20.0,Virginia Commonwealth
