,G,Date,Site,Opp,W/L,score_Tm,score_Opp,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,blank,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,Team
44,9,2017-12-09,@,Central Arkansas,L,54.0,69.0,17.0,60.0,0.28300000000000003,6.0,23.0,0.261,14.0,18.0,0.778,8.0,41.0,9.0,5.0,2.0,18.0,22.0,,24.0,59.0,0.40700000000000003,5.0,25.0,0.2,16.0,27.0,0.593,7.0,40.0,17.0,10.0,6.0,11.0,16.0,Arkansas-Little Rock
45,10,2017-12-13,@,Bradley,L,46.0,86.0,16.0,45.0,0.35600000000000004,9.0,25.0,0.36,5.0,8.0,0.625,9.0,23.0,8.0,2.0,2.0,19.0,22.0,,31.0,51.0,0.608,10.0,21.0,0.47600000000000003,14.0,20.0,0.7,9.0,31.0,21.0,9.0,2.0,10.0,16.0,Arkansas-Little Rock
46,11,2017-12-15,@,Sam Houston State,L,55.0,57.0,22.0,53.0,0.415,8.0,28.0,0.28600000000000003,3.0,5.0,0.6,4.0,30.0,18.0,5.0,3.0,17.0,15.0,,20.0,49.0,0.408,7.0,28.0,0.25,10.0,12.0,0.833,5.0,31.0,17.0,6.0,1.0,16.0,13.0,Arkansas-Little Rock
47,12,2017-12-18,,University of the Ozarks,W,94.0,49.0,36.0,68.0,0.529,12.0,30.0,0.4,10.0,15.0,0.667,13.0,40.0,26.0,14.0,4.0,8.0,10.0,,17.0,52.0,0.327,7.0,26.0,0.26899999999999996,8.0,10.0,0.8,5.0,23.0,10.0,1.0,1.0,19.0,12.0,Arkansas-Little Rock
48,13,2017-12-20,@,Mississippi State,L,48.0,64.0,20.0,54.0,0.37,4.0,20.0,0.2,4.0,10.0,0.4,11.0,29.0,7.0,5.0,0.0,21.0,21.0,,22.0,56.0,0.39299999999999996,5.0,25.0,0.2,15.0,27.0,0.556,17.0,40.0,11.0,11.0,7.0,12.0,15.0,Arkansas-Little Rock
49,14,2017-12-29,,Louisiana,L,63.0,77.0,27.0,58.0,0.466,6.0,13.0,0.462,3.0,12.0,0.25,7.0,24.0,12.0,2.0,2.0,10.0,19.0,,26.0,57.0,0.456,5.0,13.0,0.385,20.0,24.0,0.833,14.0,43.0,18.0,4.0,2.0,13.0,14.0,Arkansas-Little Rock
50,15,2017-12-31,,Louisiana-Monroe,W,71.0,62.0,23.0,48.0,0.479,7.0,25.0,0.28,18.0,23.0,0.7829999999999999,9.0,32.0,15.0,4.0,7.0,12.0,20.0,,17.0,51.0,0.33299999999999996,8.0,22.0,0.364,20.0,23.0,0.87,8.0,25.0,7.0,3.0,0.0,12.0,20.0,Arkansas-Little Rock
51,16,2018-01-04,@,Georgia State,L,64.0,73.0,25.0,60.0,0.41700000000000004,9.0,17.0,0.529,5.0,7.0,0.7140000000000001,9.0,28.0,16.0,9.0,2.0,14.0,25.0,,20.0,49.0,0.408,10.0,27.0,0.37,23.0,33.0,0.6970000000000001,13.0,34.0,13.0,8.0,8.0,17.0,10.0,Arkansas-Little Rock
52,17,2018-01-06,@,Georgia Southern,L,69.0,72.0,25.0,53.0,0.47200000000000003,9.0,20.0,0.45,10.0,20.0,0.5,6.0,29.0,13.0,4.0,5.0,8.0,22.0,,23.0,53.0,0.434,10.0,25.0,0.4,16.0,24.0,0.667,9.0,34.0,11.0,4.0,5.0,7.0,22.0,Arkansas-Little Rock
53,18,2018-01-11,,Texas-Arlington,W,77.0,65.0,26.0,51.0,0.51,5.0,15.0,0.33299999999999996,20.0,29.0,0.69,5.0,32.0,12.0,6.0,1.0,17.0,16.0,,25.0,64.0,0.391,6.0,29.0,0.207,9.0,16.0,0.563,13.0,34.0,11.0,6.0,4.0,21.0,22.0,Arkansas-Little Rock
